sentiment,review_body,product_category
0,I ordered this blouse as a gift for my mom. it is too pricey to live up to my expectations. it is quite sheer and the hem of the sleeves are unfinished which you can't see in the pictures. this makes a very expensive blouse look cheap. it is made of viscose and dry clean only. the material used is not on par with the price in my opinion. if it had been real silk or another natural fiber  ok. but for me this and the unfinished hem along with the price is a deal breaker for me.,Blouses
1,I love this top! i typically wear a size small and this is very true to size. it's loose fitting but does not make you look large. the pattern on the material is also fun without being too busy. perfect for fall!,Blouses
1,I so wanted to buy this top - especially during the 30% off tops sale this past weekend - so it would have been just about $100.  but while it was well made  i could see it easily snagging or getting caught on jewelry.    if it was on sale even more  i might have considered it.  it could be extremely versatile  with jeans  black skinny pants or leggings.  really loved it  but couldn't see spending that much money on it.,Blouses
1,I can't believe these aren't sold out yet.  i had no problem getting this over my head.  this top has such beautiful colors and embroidery.  quality is good.  flattering on.  at this price  it is probably the best deal i've gotten on anything from retailer.  i would recommend this top  absolutely!,Blouses
1,This top is gorgeous and it fits much better in real life than pictured on the model. the back is made of soft cotton crochet and it curves beautifully on your lower back emphasizing your lower assets and if you have great shoulders and arms you're going to love this top because your shoulders will stand out. it's made of a light weight linen-cotton fabric. it's very soft and doesn't wrinkle as easily as most linen does  it feels soft on the skin  light-weight  and has a nice bounce to it. it's,Blouses
1,Love this top! runs true to size. exactly as pictured.,Blouses
1,I hoped to love this based on the prior review  but i didn't. it's a beautifully crafted top but the print didn't look good on me. and although i grabbed during the sale it's too expensive to keep when it's not perfect.,Blouses
1,I love tunics and the colors of this one is what caught my eye. overall  the tunic is nice but i have to agree with another review that the stitching at the top of the slits is not good. i also agree that the slits are to high. they should have made them stop at a lower point. it gives an odd effect. the tunic looks good especially with tights. it is tts and i believe the top probably looks better on someone tall because the length of it is so long compared to other tunics.,Blouses
1,"Really like this top. fun flair  nice quality shirt. great for dressing up with skirt and also would be perfect with boots for the rodeo. i paired it with a skirt and boots for church. wore white cami under to emphasize lace details. super cute. tried 8 and 8p. thought petite was too short in length on me (5'4""). will send petite back.",Blouses
1,"I loved this top; it reminded me of one i have from retailer from circa 2008 in black and white; however  on this one  the chest area is too big  in both the 14 and 16  and i even found myself tugging downward on the fabric to keep it in place because the waist is elastic and also too big. i probably need a size 12  but then i fear it would be too short-waisted on me  for i am 5'10"". unfortunately  it is not for me. also  the sleeves are much bigger and flouncier than they appear in the photo on t",Blouses
-1,I had high hopes for this dress but my husband said i looked pregnant and that i was wearing a tablecloth- and he was right! i'm usually a size 10 so perhaps this would look good on a talk lanky person with a very long torso... but probably not. way too much fabric around the midsection. it's a shame because the fabric was really pretty  but too stiff a hand to drape well.,Dresses
-1,Didn't like the dress. look pregnant in it. this dress is going back.,Dresses
-1,This dress looked super cute in the picture and on the model. i ordered the petite style and it was still so big and way too loose. no shape whatsoever! i unfortunately had to return it. i love loose dresses but this one was way too big  loose and had no shape at all.,Dresses
-1,Beautiful dress  but has an unflattering fit. i purchased an xs and it's past my knees and the bottom of the dress is so heavy! would be a perfect maternity dress though!,Dresses
-1,I was surprised at the positive reviews for this product. its terrible! it cuts you in a weird place to make you look wide. the skirt is also not like the picture. its darker and heavier. the material isnt great. i had to return.,Dresses
-1,I was so sad not to love this dress. it is beautiful  but is so unflattering on. there is a lot of material under the arms and it gathers up due to the smocking. so  it just made me look incredibly frumpy. i don't really think a petite would have helped - the gathers just bunch a bit and so rather than hang  the dress sort of clumps. i am lean but broad shouldered and maybe that is the problem  but i was super disappointed. narrow shouldered people with long torsos could pull this off. it is a t,Dresses
-1,There isn't a whole lot that i did like about this dress. the shoulders have large poufs  the fabric isn't very soft  and it's not flattering. maybe with a belt i could be tempted  but i wasn't too fond of the dress.,Dresses
-1,The color of this dress is gorgeous and i really wanted to love it. but  it was awful. i am 5'9'' and the length was fine. the problem is the lack of shape which made me look 50 - 100 lbs heavier than i am. it would make a great maternity dress since that is what it already looks like.,Dresses
-1,This dress really was huge  and not at all flattering. i don't know how they got it to look good on the model in the picture. material was nice and soft  but i really don't see how anyone could look good in this  no matter what your body shape is.,Dresses
0,I purchased the sand color (beige/) one size up from my usual xs to allow for extra room around the hips. the dress fit a little large so the extra room wasn't necessary. the fabric was much thinner than i expected for the price point. the dress was sheer and on my lighter skin tone looked more like a lab coat than a dress. this may be stunning on someone a bit taller. at 5'4 it just hung on my frame and didn't do much for me. the pockets are a nice touch but overall the cut was unflattering and,Dresses
0,Tried this dress on today in the store. i am a size 10  sometimes a size 8. the size 12 was the first size i tried that zipped all the way up. however it was still very tight around my stomach and bust. and then from having to size up  it flared out too much at the bottom for my liking,Dresses
0,I am pretty standard size 8  36c  5&amp;#39;6&amp;quot;  150 lbs. i ordered the small and the bust fit well but the whole thing was like a tent and way too flowy for my taste. it was also long so everything was very covered. i didn&amp;#39;t feel it flattered my build. i returned!,Dresses
0,I fell in love with this dress the instant i saw it. but was disappointed when i received it. first was the color. i chose the green and it wasn't what i thought. it was a very unnatural shade of artificial grass. when my husband saw it in the package he thought i had ordered a cheap grass hula skirt. the color was that bad. the fit was the next problem. this dress would have fit nicely if they had just added a side zip and made the top more fitted. the top was loose and that added to the flowy,Dresses
0,I ordered this online and i love the style  but didn't like the print as much as i thought i would.,Dresses
0,I really like this dress but after looking at the photo  it doesn't look like this  well at least on me. granted  i am 36dd so that might be part of the reason  but this dress is definitely trapeze style. i love the look but am cringing at the thought that someone is going to think i am pregnant. because of this  a belt is a must. plus it is the only way to achieve the look in the photos because it is a lot fuller in real life.     another nice touch to this dress is that versatility with the ru,Dresses
0,I purchased this for a very good price and i typically love maeve... should have been a win-win. the fabric is thin and slinky in the most unfortunate way. it made finding appropriate undergarments very difficult. i had to add a slip (that helped) and figured that since i'm losing weight  it would look better when i'm down a few more pounds. that being said  i didn't find it to be figure flattering. i have a tummy and there was at least one photo from the bridal shower i wore this to  where i lo,Dresses
0,"I was so excited to try this dress  but after ready the reviews i though they were all over the place! i descided to order my typical retailer size small. i'm 5'6""   134 lbs  and wear a size 6. well  it was a snug fit! i have a slim build and this was just to snug for my taste. i imagine a medium would have been better. however  i was very surprised by the length and slit... the dress hit at my knee cap with the slit going all the way up to mid thigh... .!?? i've seen pics of this dress on instagr",Dresses
0,This is a gorgeous dress. i got the red version. it's stunning...the zipper is trash however. i'm scared of getting stuck in it like another reviewer.,Dresses
1,I am 5'4 and a curvy girl and find this dress to be super flattering in fit and length. i got a size 14 which is my typical size. the slip is a little tight in the bust area for me so i find it easier to put on first and then the dress over which is possible because it snaps in and out at the shoulders. it arrived super wrinkled but i found tossing it in the dryer for a few min helped - is it dry clean which is slightly high maintenance but so cute it's worth it. great dress for transitioning in,Dresses
1,I was really nervous when ordering this dress because of the other reviews  but i couldn't get to a store during the mother's day event and really wanted this little number. it arrived yesterday and i'm already so excited to wear it  especially once i get just a tiny bit of a tan. i love the fact that it is yellow and white stripes with the dragonflies on top--the pattern is so much cuter in person than it appears online. the fabric is also a good weight  and it is lined  which greatly simplifie,Dresses
1,I am normally a small or xs with retailer clothing. i saw the previous review that this dress runs small  but the medium was sold out. i am heartbroken i have to return and can't get my size since they are all gone! was aiming to wear this to a high school reunion.,Dresses
1,Saw this online when it first came up and thought it looked lovely. i purchased a different pleated dress and decided i didn't need a second pleated dress. was at my local retailer and they had one pink dress in a size 4 and a blue in a 0. decided to try them both on. the zero actually fit perfectly and at the sale price i had to have it. the material is beautiful  little details like the ruffled hem are lovely. one i will wear for years. thinking about getting the link but the blue is lovely. i'm,Dresses
1,This simple dress will turn heads. it fits to the body  hugging just in the right spots. i love this dress! it is soft and feels amazing on. you can adjust the tie in the front. i purchased the copper color  but i have to say that is much more brown to me than copper. a dark brown. i still think the dress is adorable. looks cute with booties or knee high boots. winner!,Dresses
1,I am so crazy about this dress. i got it in the mail today and just love it!  no  it's not lined but it's not see through so no big deal. i was afraid the tie would add bulk but i look very thin. i just need to call for a price adjustment since i payed full price!,Dresses
1,Just beautiful dress! it dits perfectly  tts and i feel like princess in it! highly recommend girls!,Dresses
1,I am 125lbs and purchased the petiite small. the dress is very flattering and can easily be dressed up or down. the fabric is a medium weight and does not cling to trouble areas.,Dresses
1,By itself  this dress is a disaster. it's semi-maternity and offers no shape at all. however  with a belt  it really becomes the sweetest sweater dress. i can't believe how flattering the dress becomes with a belt  the skirt falls perfectly   it's perfect  especially with it's rich colors.  for $50  you can't go wrong and i'm positive you need this dress. boots  heels  jacket  whatever  it goes up and down  it's perfect!,Dresses
-1,The top looks better on the model than in-person. it fits loose and looks boxy and matronly. i don't like the sleeve length or the top style  it just didn't look flattering or good. i am sending it back. looks very boxy.,Fine gauge
-1,This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also  the color was not as vibrant as shown in the picture. this sweater will be going back.,Fine gauge
-1,I was sooo excited to buy this top and it was such a bummer. this top hangs so poorly and is so droopy under the arms. it's clearly poorly made and the sizing was way off on me. i ordered my usual medium and it was so large and wide that i had to return it. it weirdly fit perfectly in the shoulders and arm length as mediums do for me but was so wide and unflattering for my figure (5'8 and athletic). i really wanted to like this top and considered ordering a small to see if it would fit better bu,Fine gauge
-1,"This is a very pretty sweater  a bit boxy and short but cute. i am 5'1"" and ordered the regular xs in black. the thing i did not like about this sweater was the gold thread through the back lace. i would have kept this if it was plain black lace. just did not like that look.",Fine gauge
-1,I couldn't wait to try this on this sweater.  sadly  it was too large in all ways.  the sleeves are adorable  but the ruffle overwhelmed my arms. this was much longer on me than the model.  it stopped mid-thigh.  the quality seemed fine  but it is a thin sweater.,Fine gauge
-1,This hoodie was too thin. you can see right through it. i returned it.,Fine gauge
-1,"The photos online make it look like a comfortable  relaxed  lightweight early fall/spring cardigan. when it arrived it looked very wrinkly and there is no ""shimmer"" as far as i can tell. i tried using my steamer to get some of the wrinkles out  but it didn't work. it looks too rumpled and i don't want to wear something that looks like i just rolled out of bed.",Fine gauge
-1,Didn't like at all. itchy fabric  looked good on model but on on busty girl.,Fine gauge
-1,Note the sleeves on the model. that is how your regular size will fit your arms. however  even if you have skinny arms like i do  the sleeves will be tight. i bought my regular size xs and it was clingy with an odd flair and the length seems as though i ordered a petite and i am only 5 ft 2 in. i advise to try a few sizes on if you really are interested. the red is truly a red which is a good thing because so often it is hard to find a red that is not neon.,Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,I'm on the fence about this one. it is pretty,Fine gauge
0,I typically wear a size xl in retailer clothes. i'm a size 16 in tops and this sweater in xl fit really baggy with no form fitting. it's super soft and i love the color  but it was just unflattering on me.,Fine gauge
0,First  i love moth clothing and own many  many of their pieces. this is very cute and i purchased it to go with the jules tank. the other reviewers are spot on with the cute factor and that it runs a little larger than the cropped sweaters. the snails are very cute  buttons run all the way down... caveat: it began to pill after only a having it on a few hours - and i wasn't doing anything to cause extra friction- just sitting and lounging mostly. i noticed pilling on the inside of the arms when,Fine gauge
0,I am returning. i really liked the appearance in the photo and i love aqua  but the biggest problem for me is the shape. it's pretty boxy and it's hard to tell from the photo  but it has a batwing shape. i also wish the lighter portion were more ivory (less yellow in it)  but that's based on what looks better against my skin tone. i found it to run true to size  but i thought it was unflattering (made me look wide).,Fine gauge
0,"Tried this on in the ""onsie"" area of retailer store. i usually am between a medium and a large. the medium fit fine. the material in this top is substantial - very thick and soft but it is very thick as a warning. more for a pretty cool spring evening vs the heat of the summer in chicago. not sure how much the material would stretch out either. as it seems like it could be the type. also  it is dry clean only  and on such a casual top  that is a real deal killer for me.     regarding the style of",Fine gauge
0,I love cashmere  love the length  cowl-neck and colors  however i found the yellow to be bit more vibrant in person  which i liked. i'm not sure i will keep this because it seemed to be a bit too thin for my taste. i would gladly pay a bit more for a thicker ply sweater... i might justify this one at a sale price.,Fine gauge
0,Honestly  the sweater is really beautiful...i usually buy a small in retailer tops  and this seemed to run on the smaller side. it&#39;s pretty short  but the issue i have is that the sleeves are much shorter in person than on the models in the pictures. it looks like i&#39;m wearing a 3/4 sleeve shirt. still deciding if i&#39;m going to keep it  because it is really a lovely top.,Fine gauge
0,This is a thick sweater. it is pretty  but has a short length.,Fine gauge
1,I love the sparkled fabric and intricate design on the back. i had trouble with the front because the cowl exposed a bit too much  so i wore a tank top underneath. ordering a petite may have helped with the cowl.,Fine gauge
1,This is a great sweater that i know i'll get a ton of use out of! i've already worn it three times  and i've had it a week. i typically wear small or medium in tops and sweaters  and ordered a medium in this one to ensure the arms were comfortable. the nude color is perfect.,Fine gauge
1,Wore this & got many compliments. true to size  elegant.,Fine gauge
1,This is a lovely top. received many compliments. felt very feminine  and perfect for chilly spring. please take this to the dry cleaners  you will avoid feeling distraught as i did after washing it  which is the recommended method to clean it  and seeing it shrunk to half it's previous size. sad.,Fine gauge
1,This is a lovely sweater but i wished i had ordered the xs (only the small was left).,Fine gauge
1,I just purchased this adorable  unique looking sweater at my local retailer store and absolutely love it. as soon as i saw it  i knew i had to have it! it is super soft  tts so i purchased it in my regular size small and it has the cutest pockets ever. the little black buttons also add to the look but the black snails on the pockets are what's really so sweet on this one. though i'm not a fan of snails in my garden  i'll make an exception for a couple of them making a guest appearance on this swea,Fine gauge
1,"- this really is lovely. the overall design from the arms  front  and back makes this poncho unique. it's not too thick  either  making it a nice everyday sort of thing. however  it just didn't work for me. even though i'm 5'9""  ponchos have a tendency to",Fine gauge
1,This is really cute sweater  soft  cozy. around the chest bit small went up size but the shape looked the same. i'm keep it because of softness  warmth and versatile. i got it in black. would recommend it  or at least try it for yourself.,Fine gauge
1,I love this sweater. the green is soft. the fabric is light enough for year round in my area. i thought it might be too young but it works nicely for me. i bought it in two other colors when the package arrived today.,Fine gauge
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
1,This is by far the most comfortable bra i've ever owned. i love the convertible strap feature. it's great for shirts with a back cutout.,Intimates
1,"I purchased this in the black and received it today.  it is silky feeling and is a quality camisole.  the color is a muted black  not all shiny as some silks are (and they often look cheap) but this looks great and could be worn alone  under leather  or with a sweater/kimono.  i usually wear a medium in tops  and this fit true to size.  i am 5'2"" and it doesn't look too long  but i do wish it came in a petite.  still keeping it!",Intimates
1,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,Intimates
1,This is the perfect bralette for comfort; it's soft and fits to form really quickly. i wear a b cup  and it's enough support for me to wear daily doing everything other than heavy exercise. now  at 5 months pregnant it's pretty much perfect to sleep in too. i'm at 35 band  and i'm still wearing it on the loosest closure  but it fits perfectly there for me.,Intimates
1,This is a tts cami that should be a staple in everyone's closet. great for layering.,Intimates
1,A finely laced sheer bustier along with a gown split along the sides makes for a lovely sleeping garment. the material is cooling and the lace is not itchy.,Intimates
1,This sleep is super flattering on but it runs quite small (and short). it has a lot of stretch to the fabric and my normal size felt like i had a large spanx slip on. like i said  great slip but i'd recommend ordering up a size if you want it to look like the model.,Intimates
1,I am not a fan of unlined bras  but this one was so pretty i had to try it. the lace doesn't look cheap  but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.,Intimates
1,"This is beautiful and fits perfect. it's even prettier in person  and extremely comfortable and high quality. i'm 5'3"" and it hits right above the knee. the straps are adjustable and fits true to size. i bought an xs and it fits perfect. must buy for a sweet little night gown!",Intimates
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,I wanted to love this kimono...it is such a beautiful color and would work well with so many things in my wardrobe  but alas it went back due to the strange feel of the fabric...not a soft touch and because it runs small. i bought the m/l and usually wear a 12/14 but i couldn't bring the kimono together in the front (for a belting option).,Jackets
-1,This sweater/jacket looks just like the photo in real life  but the inside is so scratchy. i physically recoiled when trying it on as the interior of the sleeves feels like sandpaper. unlined and uncomfortable. no thank you!  should you choose to proceed  i found the fit tts. i'm 5'8  wear an 8/10 and the medium worked for me.,Jackets
-1,This looks great on the model but when it arrived  i couldn't believe it was the same jacket. it looks a bit like a really loose garbage bag on me and no amount of adjusting drawstrings is going to fix it. i really wanted to like it  but even the xs/s was too baggy. also a bit worried based on other reviews that it isn't actually a rain jacket and wont keep you dry.,Jackets
-1,I built a new wardrobe around the three lovely velvet blazers: moss  copper and burgundy. they are soft  well-fitting  pretty linings and very satisfactory. this new version is stiff material  and ill-fitting. not coming in petite is a problem and it may fit others better  but it is too full across the front. with the stiff materials  this is a bad fit. disappointing and going back.,Jackets
-1,Even at a very deep discount  this piece is definitely not worth the money. the picture made me think this jacket had a longer curved velvet hem as part of its design (which would be cool)--which is largely what attracted me to it  but as i discovered when it arrived  that was actually part of the shirt worn beneath in the photo. so this image is rather misleading. the actual jacket is very thin--more like a shirt with an open front than a jacket. the pockets are just loosely tacked inside. for,Jackets
-1,I have blazers in size 8 from this designer and they fit with room to spare. i understand this is a more fitted style  but it is still way too small. size 10 and size 12 were not much bigger. great colors and cute design  but just too small even if you do not plan on buttoning it. i hope they bring back this jacket but make it true to size.,Jackets
-1,The colors on this kimono are amazing and i really loved it  however  i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.,Jackets
-1,I was hesitant to buy this because it is double breasted which isn't my first choice. that was the least of the problems with this jacket. i love sparkle  and i love beautiful detail  none of the elements by themselves was a problem. the sum of the parts didn't work  though. the end result was an unflattering  confusing mess. the silhouette plus the frayed edges  plus the sequins plus the vent in back plus the huge buttons plus the double breast  plus the zipper were just too many things to go t,Jackets
0,The blazer is boxy and less dressy that it seemed online. i could only really wear this in casual situations  and i was hoping to be able to wear it to work as well. it does have an interesting hemline. the shoulders are a bit too narrow for me (but i do have shoulders on the broader side). i don't hate it  but i don't love it either  but it is interesting enough that i'm going to keep it. i ordered a small.,Jackets
0,Ordered my regular size large and the fit was a snug around my hips when snapped. i didn't plan on wearing it that way so that wasn't a deal breaker for me. but because i have a larger bust i felt the padding added pounds and lots of width to my frame. i also had the same issues with coloring as other reviewers. and lastly  the collar is really high and it just bugged me. so this one went back.,Jackets
0,When i tried it on it looked like a stiff bathrobe. straight  too boxy.,Jackets
0,This jacket was too wide and the length in the arms too short. i wear a medium in almost any article of clothing and felt like i was swimming in a short little jacket. the ratio of how wide it is to the length is not for me but might work well with other body types. the arms were definitely too short.,Jackets
0,I like how this jacket is very versatile. you can wear it to work  or play. it does have interesting detail on it  i kept it based on the price and those details. i have the olive color. the arms are a little tight.,Jackets
0,I saw this jacket and loved the plaid and the idea of a soft sherpa material as a lining was hard to pass up1it was true to size and the material was very nice. however  the button closure was difficult as the buttonholes seemed a bit too small. also  the back of the jacket did not lay flat and it kept rolling.... i had to return this jacket.,Jackets
0,The fabric is beautiful  even the lining is lovely. i ordered the green color in a large  as i'm curvy and have long arms. but it just doesn't lay correctly at all - the collar has no structure  even though it's a lapel  and the side vents just pop out - the jacket added about 10lbs  and just looked frumpy. it looks much more tailored on the model. too bad  as i have been looking for a velvet blazer in the color for a long time.,Jackets
0,Has i read the reviews would have realized the t-shirt looking sleeves in the pic are attached to the sweater. based on the pic and site description i didnt realize they were attached. i thought it was part of the styling of the undershirt. i think this very much limits the versatility of the sweater. i ordered the white which is a beautiful color and very soft. i am returning it cause i do not like the t-shirt sleeve. would rather have the flexibility to layer whatever shirt i wanted,Jackets
0,Very pretty but runs tight - i usually wear an 8 or small/med in retailer jackets and couldn't zip up the 8 (am a 36c and thick/broad at the top) as there is no give. this is also more like a fitted shirt  made of lightweight muslin-like fabric. was looking for a summer jacket to wear over knits in a chilly  air conditioned office setting so sadly it didn't work for me. could be cute on someone with a smaller frame over a tank or cami.,Jackets
1,Love the look and quality of this jacket. i&amp;#39;d say it fits true to size but it is way too short for me (i&amp;#39;m just under 6&amp;#39; tall). wish these came in tall sizes!,Jackets
1,First i ordered a m. i'm normally a 8-10. the m was too small so i returned and ordered a lg. the lg fits great but there is a huge area of distressing on the shoulder that will turn into a hole. i love this jacket but cannot keep it in its condition. hopefully i will make it to the store soon (there are none w/in an hour of me) and look before i buy.,Jackets
1,I bought the blazer in the grey motif color. it is definitely a taupe color versus grey but it does look as pictured.i bought a small after trying it on in store. i think it runs a bit small as i mostly wear xs at retailer. the arms are very fitted in my opinion  so if you have bigger arms  it might feel too snug. you don't really see this detail in the picture but the lapel folds differently on each side  meaning one folds back higher than the other  so it isn't a symmetrical look. i actually lik,Jackets
1,This is a lovely jacket. it is easily paired with different bottoms and tops  and is such a fun take on the standard blazer with the beautiful ruffle pocket-detail. they are not actual pockets though  which i thought would have been an easy thing to incorporate. my chief issue with the fit is that it is a tad boxy. i am a standard xs/xxs and this runs just a tad big and a bit wide. but unbuttoned it falls seamlessly. if you use the clasp  it actually looks bigger. regardless  i love it and was o,Jackets
